,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.95,0.05,0.04
Shrubland,0.1,0.32,0.1,0.32,0.15,0.9,0.68
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.61,0.23,0.61,0.23,0.34,0.39,0.77
Natural Grassland,0.57,0.58,0.57,0.58,0.58,0.43,0.42
Pastureland,0.81,0.92,0.81,0.92,0.87,0.19,0.08
Cropland,0.51,0.68,0.51,0.68,0.58,0.49,0.32
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.88,0.91,0.88,0.9,0.09,0.12
